Company ID,Cloud Coverage
115212676,-
13370578,-
12583560,SaaS
12583560,Other Cloud: Hybrid/Private/On-prem virtualization
12715160,IaaS
12715160,Other Cloud: Hybrid/Private/On-prem virtualization
12715160,PaaS
12715160,SaaS
12452808,SaaS
12452808,Other Cloud: Hybrid/Private/On-prem virtualization
115212793,SaaS
118621343,-
13108161,SaaS
13108161,Other Cloud: Hybrid/Private/On-prem virtualization
115212816,-
15204296,SaaS
115212958,-
115213019,-
118620744,SaaS
115213451,IaaS
115213451,SaaS
