company_id,scope
63bed0c8-343a-42ba-bb60-c218c6ee8207,IoT
63bed0c8-343a-42ba-bb60-c218c6ee8207,Big Data and Analytics
f7bb15e8-79e1-4ace-9d0b-6de3e599395e,Cloud
f7bb15e8-79e1-4ace-9d0b-6de3e599395e,Big Data and Analytics
f7bb15e8-79e1-4ace-9d0b-6de3e599395e,AR/VR
f7bb15e8-79e1-4ace-9d0b-6de3e599395e,Mobility
4f18d368-4916-4955-8012-b4cfe1012684,Blockchain
4f18d368-4916-4955-8012-b4cfe1012684,AI
4f18d368-4916-4955-8012-b4cfe1012684,Cloud
32f42f92-3609-400a-a435-1843a9af3df0,Social
32f42f92-3609-400a-a435-1843a9af3df0,Security
32f42f92-3609-400a-a435-1843a9af3df0,IoT
32f42f92-3609-400a-a435-1843a9af3df0,Big Data and Analytics
32f42f92-3609-400a-a435-1843a9af3df0,AI
32f42f92-3609-400a-a435-1843a9af3df0,Mobility
32f42f92-3609-400a-a435-1843a9af3df0,Robotics
32f42f92-3609-400a-a435-1843a9af3df0,Cloud
32f42f92-3609-400a-a435-1843a9af3df0,Blockchain
63584948-3fc0-4f34-ad0d-cf56ad043a48,Security
63584948-3fc0-4f34-ad0d-cf56ad043a48,Big Data and Analytics
63584948-3fc0-4f34-ad0d-cf56ad043a48,AI
63584948-3fc0-4f34-ad0d-cf56ad043a48,Mobility
63584948-3fc0-4f34-ad0d-cf56ad043a48,IoT
63584948-3fc0-4f34-ad0d-cf56ad043a48,Social
63584948-3fc0-4f34-ad0d-cf56ad043a48,Blockchain
63584948-3fc0-4f34-ad0d-cf56ad043a48,Cloud
63584948-3fc0-4f34-ad0d-cf56ad043a48,Robotics
3612e46d-1573-4605-8bde-39f7e048d638,Security
3612e46d-1573-4605-8bde-39f7e048d638,Mobility
64a51afd-4f28-46d6-aded-0e1ff9b8ecc0,Mobility
52adc6dc-b232-4b27-b01c-53c61763a40b,Social
52adc6dc-b232-4b27-b01c-53c61763a40b,AI
e9731b48-de7f-42f4-91e2-f3fe834f7c3b,IoT
e9731b48-de7f-42f4-91e2-f3fe834f7c3b,Social
e9731b48-de7f-42f4-91e2-f3fe834f7c3b,Security
e9731b48-de7f-42f4-91e2-f3fe834f7c3b,Big Data and Analytics
e9731b48-de7f-42f4-91e2-f3fe834f7c3b,Mobility
50ccd430-169c-48ea-83ed-6c3490f3c490,Mobility
50ccd430-169c-48ea-83ed-6c3490f3c490,IoT
50ccd430-169c-48ea-83ed-6c3490f3c490,Social
50ccd430-169c-48ea-83ed-6c3490f3c490,AR/VR
50ccd430-169c-48ea-83ed-6c3490f3c490,Blockchain
50ccd430-169c-48ea-83ed-6c3490f3c490,Security
50ccd430-169c-48ea-83ed-6c3490f3c490,AI
50ccd430-169c-48ea-83ed-6c3490f3c490,Cloud
50ccd430-169c-48ea-83ed-6c3490f3c490,Big Data and Analytics
1491443f-34f8-4191-a7d7-f8db4c3932cf,Social
1491443f-34f8-4191-a7d7-f8db4c3932cf,Security
1491443f-34f8-4191-a7d7-f8db4c3932cf,Mobility
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,Cloud
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,IoT
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,Social
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,Mobility
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,AR/VR
