company_id,coverage
8e947f1a-0312-4659-830b-0a4dc07af14c,SaaS
00be2d24-1266-4f3d-b898-6b7138ceb1fa,
8afe99cf-a6be-437e-a793-8516c1f97ef8,SaaS
b8d897bd-56dc-45ae-b950-64ae01e48590,SaaS
b8d897bd-56dc-45ae-b950-64ae01e48590,Other Cloud: Hybrid/Private/On-prem virtualization
5046122b-a6c1-48d1-8ae1-c2448ab1d40e,SaaS
76ee8466-e12b-40ea-aae2-7432d0ee9cb0,SaaS
6f8a3f29-e9da-4fcf-8fd3-8effae2c8858,
20f8b23a-29ff-460f-9b9f-70fd76aa84a6,SaaS
20f8b23a-29ff-460f-9b9f-70fd76aa84a6,Other Cloud: Hybrid/Private/On-prem virtualization
2879cfea-d1b1-4000-83e5-805e327ccc82,SaaS
2879cfea-d1b1-4000-83e5-805e327ccc82,IaaS
