id,global_region,region,country,state,city
e1ce0e90-d548-4740-98f5-88444a9ec7ff,Americas,USA,USA,California,San Mateo
a57db6d0-f0ea-4a8d-b51d-59eea80c2d39,Americas,USA,USA,California,Camarillo
545a092c-3066-45e8-8cfd-1db0f98cf917,Americas,USA,USA,North Carolina,Wilmington
4fafdcba-ab40-47d8-8712-6b01383ff9b7,Americas,USA,USA,Florida,West Miami
cda75032-c724-4500-a308-fd02eecf1a8f,APJ,APeJC,Korea,Seoul,Jongno-gu
69a7dc03-3730-45c6-9f81-efc5bb4f7c3f,EMEA,Western Europe,Belgium,Flanders,Antwerp
c9690df4-0281-45dc-a45a-83e552129fdf,Americas,USA,USA,Florida,Riviera Beach
2374322f-07ad-4b98-8324-68e947f4c23a,EMEA,Western Europe,Switzerland,Bern,Corcelles
03986b5e-7803-44eb-9075-13220e1c8f88,EMEA,Western Europe,United Kingdom,Nottingham,Nottingham
89046759-7b8a-4440-bbce-da9bc64209f1,Americas,USA,USA,Texas,Flower Mound
6b737188-72cf-482b-9ae7-6f0a9c6cb96b,Americas,USA,USA,Ohio,Westlake
6d81f772-0063-4269-88ca-f5c1c722af6d,EMEA,Middle East & Africa,Turkey,Istanbul,Istanbul
e82677bf-5740-4ae9-9862-c5522ca41ec4,Americas,USA,USA,North Carolina,Pineville
73e087c8-6f5d-40d4-a804-3dc433260652,Americas,USA,USA,California,Palo Alto
069f3dc5-1d22-4818-8062-ec3660ce1a0e,Americas,USA,USA,New Jersey,Paterson
27c81d63-cbd6-46a7-9558-5614b6451929,APJ,APeJC,Thailand,Bangkok,Silom
91246e3c-550f-4b35-811f-626cf7492a26,Americas,USA,USA,New Hampshire,Salem
b7049024-d741-452a-ad0b-4ba87e35e52d,EMEA,Western Europe,Italy,Lombardy,Novegro-Tregarezzo
35fe51a5-26d7-4428-ac46-9ebaaab2bb41,Americas,USA,USA,Wisconsin,Menomonee Falls
23591413-5bf9-414f-9a51-8a36406cebbd,APJ,APeJC,India,Jammu and Kashmir,Srinagar
9fe2bdef-62e3-45cf-b6ff-695b8d5b7958,Americas,USA,USA,Florida,Fruitland Park
7644b199-e537-4c71-b036-6c9b54851540,Americas,Latin America,Argentina,Buenos Aires,CABA
4a658d79-83f8-426b-b122-c7a65000c97f,Americas,Latin America,Paraguay,Asuncion,Asuncion
2f0a2ad5-b690-43de-8e8c-b5decc1d4a36,Americas,Latin America,Mexico,Queretaro,Santiago de Queretaro
9f9adf99-36f1-4b14-a6a6-34eb6efcfea9,Americas,Latin America,Mexico,Zacatecas,Zacatecas
9a6e85a9-daf9-4fe4-878c-d15e4eae57bb,APJ,APeJC,Australia,Western Australia,Osborne Park
ffdb3803-975a-447a-91d9-faeba9d60166,Americas,USA,USA,Utah,Sandy
efa58c3d-873a-44e4-a579-f6631d3e809d,Americas,Canada,Canada,Alberta,Fort McMurray
5d8f0c66-d170-4d40-b3ff-f253ac4b7722,Americas,Latin America,Argentina,Ciudad Autonoma de Buenos Aires,Carlos Spegazzini
9fcbce3a-a3c7-4328-bd5c-f91f13e8f238,Americas,Latin America,Bolivia,Tarija,Tarija
2bd8de61-d867-44a0-a819-4b5c814ac847,Americas,Latin America,Argentina,Ciudad Autonoma de Buenos Aires,San Nicolas de los Arroyos
008a3e90-62ec-418d-883c-20ef4c7feebf,APJ,APeJC,Australia,New South Wales,Balmain
75d227b7-ffee-400c-9c7f-f7c4254c4b40,Americas,Latin America,Brazil,Santa Catarina,Florianopolis
ba8a2d24-dc8a-41d1-82ae-153ebf759700,Americas,USA,USA,Minnesota,North Saint Paul
982eed8e-591b-4ace-9985-9f5a481b7fce,Americas,Latin America,Brazil,Minas Gerais,Pocos de Caldas
a43a1529-17bd-4d2e-8347-201c87750f03,Americas,Latin America,Brazil,Sao Paulo,Valinhos
edb661bc-3031-4096-b9f5-f08b54fcc78b,EMEA,Western Europe,Germany,North Rhine-Westphalia,Aachen
e4095e77-4734-46bf-b362-7d523fce69d4,Americas,USA,USA,Indiana,Carmel
6dc8208e-f26f-4c1c-8913-0ab19c525d63,Americas,Latin America,Brazil,Sao Paulo,Indaiatuba
e978c74e-8165-4c48-ae06-45a2f05013dd,EMEA,Western Europe,Germany,North Rhine-Westphalia,Lemgo
5455d0ef-1730-4b25-ad07-8b76f606a3b9,Americas,USA,USA,Pennsylvania,Hopewell Township
8acc85b5-b7d7-46ea-bd95-df13f0dde8a8,Americas,Canada,Canada,Alberta,Sherwood Park
9979ed5e-12fe-4df7-9a3b-12b855541227,EMEA,Western Europe,France,Upper France,Arras
12c5666f-74a2-4616-9f1d-057815286093,Americas,USA,USA,Arkansas,Fort Smith
0044e1f3-2b9e-483f-be97-469182f9150c,Americas,USA,USA,Pennsylvania,Crafton
dea8ce19-840f-42cc-a560-c06f41af3bb2,Americas,Latin America,Puerto Rico,Catano,Catano
b09fa85d-8e16-4891-88f8-02c070feb6db,Americas,USA,USA,Texas,Friendswood
377f27dc-5571-4ca9-8312-60cda39ce428,Americas,USA,USA,Pennsylvania,North Fayette
55cc1ebc-480a-44f6-bf03-baa07ab4ade0,APJ,APeJC,Thailand,Chiang Mai,Tambon San Pong
ec359953-1a48-43d2-bd57-545543f4defb,EMEA,Middle East & Africa,Qatar,Doha,Doha
d49f70db-0f49-4034-93b7-1768aa5fe1f0,EMEA,Middle East & Africa,South Africa,Gauteng,Kempton Park
c441da64-247b-46d0-acfc-27fbeef04880,Americas,Latin America,Brazil,Espirito Santo,Vitoria
f4b55e0f-2acd-4a3a-86ff-b295971f8d8f,EMEA,Western Europe,Germany,Baden-Württemberg,Walldurn
fa57122c-f6fb-4ed3-999e-12183ff0bfc5,APJ,APeJC,Australia,Victoria,Glen Waverley
91bbc037-9e64-494b-84d1-6eb330651465,APJ,APeJC,India,Kerala,Kakkanad
61039dfc-1c15-4d61-9856-f80563883104,Americas,USA,USA,Virginia,Ashburn
89ade7b5-5a6e-4aae-ad3b-1e36edfa10de,Americas,USA,USA,Virginia,Broadlands
3c76cff7-6060-4f51-93ae-1403af6cd0db,Americas,Latin America,Mexico,Sinaloa,Culiacan
4d000ee5-1b1f-49bd-b377-a55c2a35daf0,Americas,USA,USA,Georgia,Duluth
e24b89c7-9873-48ec-8949-11d3f9d07d73,EMEA,Middle East & Africa,Oman,Masqat,Muscat
590d1c26-c077-405a-81df-f029ff71b586,Americas,USA,USA,Massachusetts,Needham
8bb747d6-286c-47f9-9e01-5cf1920d58c6,Americas,Latin America,Brazil,Rio Grande do Sul,Torres
1cefc0df-3941-4cc6-9878-891cfa93bcc2,Americas,USA,USA,Massachusetts,Framingham
b8cec40c-0393-49ad-80f9-588b1ac633f8,APJ,PRC,PRC,Guangdong,Guangzhou
bbdf750f-1e4c-428f-a99c-073617231a42,Americas,Latin America,Mexico,Morelos,Metepec
638be986-9519-42dd-abc5-99bdb19edd35,Americas,Latin America,Mexico,Hidalgo,Chapulhuacan
b3cd00d3-144a-41d7-adaa-bfe6178fafc4,Americas,Latin America,Mexico,Hidalgo,Pachuca de Soto
d9a1c9b6-5514-400a-b82f-60b9a1d47c5d,Americas,Latin America,Brazil,Sao Paulo,Ribeirao Preto
15670ccb-1bdf-46c9-9ec9-aaef34331580,Americas,Latin America,Brazil,Rio de Janeiro,Cinelandia
e8e8b610-ea5c-4b0d-bad7-da6e918a81a7,Americas,Latin America,Brazil,Santa Catarina,Brusque
11345dea-2032-4bc3-9976-e0a0d43cefba,Americas,Latin America,Chile,La Araucania,Temuco
8f17fc6e-3b01-4a1c-8235-d0999d4712b4,APJ,APeJC,Indonesia,Banten,Lebak
dbb9f37b-34ff-41ff-81ea-476e5f89854f,APJ,APeJC,Indonesia,East Java,Probolinggo
612a2959-322d-4d3e-ac3e-a296bb8bdb52,APJ,APeJC,Indonesia,West Java,Bandung
3055fe2f-a0d4-44da-b007-900239daeff7,APJ,APeJC,Indonesia,Aceh,Langsa
0df11e0d-6aae-43c4-8865-e58054002550,Americas,USA,USA,Kansas,Topeka
f0dead58-7c54-499b-86bd-765dfd27a1b7,Americas,USA,USA,Maryland,Calverton
96682315-7066-4537-be63-a018c5df48dc,Americas,USA,USA,Colorado,Pueblo
089a1d5e-2e0d-40e7-9078-9187bbbfc8fd,Americas,USA,USA,Arkansas,Fayetteville
77fdc3c9-745d-4467-b06e-7925da366ba7,Americas,USA,USA,Texas,San Juan
84ab8ca5-40a8-407e-a1e3-d6eda6996c3f,Americas,USA,USA,North Carolina,Morrisville
16390723-92fe-4bf4-9150-b3d4d5658420,Americas,USA,USA,Louisiana,Baton Rouge
6d9194c1-f0bd-4964-9f64-9a9242300120,Americas,USA,USA,Missouri,Cameron
a9866e01-b6be-456f-81bf-037200055887,Americas,Latin America,Puerto Rico,Aguadilla,Aguadilla
534f5e2c-9d2f-4ff4-afee-591be8ca6b2d,Americas,USA,USA,California,Downey
c8f38910-32a5-4746-b528-c5bfa2897def,Americas,USA,USA,North Carolina,Research Triangle Park
73272d62-6eaa-44db-9493-6c017724b440,Americas,USA,USA,North Carolina,Durham
9819f6c8-25b0-4281-8803-3f266a8c1350,Americas,USA,USA,Florida,Vero Beach
5466c055-827a-4b35-978a-10150bf803f1,Americas,USA,USA,Maryland,Bel Air
5f19293c-7c0c-41eb-a64f-c8c6c8705ea5,Americas,USA,USA,Florida,Tallahassee
8b228445-2c90-4d2b-a664-19d91771a019,Americas,Latin America,Mexico,San Luis Potosi,Tanquian de Escobedo
7d4149cc-7f75-4728-8c15-2970e3ed4db3,EMEA,Middle East & Africa,Saudi Arabia,Eastern,Al Khobar
aedc4459-ffbf-4833-a224-1b8ad06577a1,Americas,Latin America,Brazil,Minas Gerais,Araxa
608620cd-12b8-4ad4-bae6-8799fe50dafe,Americas,Latin America,Mexico,Campeche,Ciudad del Carmen
da733f03-03f0-4d58-a952-263c7866d77c,Americas,Latin America,Mexico,Veracruz de Ignacio de la Llave,Veracruz
dee01b89-3ec0-4b4b-a05f-cb1e8ea0f66b,Americas,Latin America,Mexico,Tabasco,Cardenas
77c4ed03-6004-41bb-8b33-057dd8a7fc74,Americas,Latin America,Mexico,Quintana Roo,Cancun
b485edbf-333f-4183-b134-d681b719b3fc,Americas,Latin America,Mexico,Chiapas,Tuxtla Gutierrez
0f8cc501-58d5-436e-b385-5d8430fc441a,Americas,Latin America,Mexico,Veracruz de Ignacio de la Llave,Coatzacoalcos
6ce76ec2-2cdd-46bf-8059-e6a3b38e0ede,Americas,USA,USA,Nevada,Dayton
94e37d7a-e3c8-46b4-b7ae-b2f325d6a355,Americas,Latin America,Mexico,Tabasco,Villahermosa
470fef07-ff6f-440d-b294-60bc3c1ccec9,EMEA,Central & Eastern Europe,Bulgaria,Kyustendil,Dupnitsa
a73a76ec-a7fa-4ae7-8e37-abb540bf1924,EMEA,Central & Eastern Europe,Bulgaria,Pazardzhik,Peshtera
9bf5fb6e-9522-4829-a5b4-5f6d86a95319,EMEA,Central & Eastern Europe,Bulgaria,Sofia,Chekanchevo
996fa647-e85a-4506-974f-7fd08b304526,EMEA,Central & Eastern Europe,Bulgaria,Plovdiv,Kostievo
c62c7277-0bf8-4ae3-8736-6c6243ab0adf,EMEA,Central & Eastern Europe,Bulgaria,Ruse,Ruse
73a4228d-0196-418b-8123-f8fe1f01a80a,EMEA,Central & Eastern Europe,Bulgaria,Sofia,Botevgrad
e7033fbe-96e7-4a73-b24b-bcf9ca0c45b1,EMEA,Central & Eastern Europe,Albania,Tirane,Tirana
abf1f03b-24cb-4805-aa37-2726fafef3de,EMEA,Central & Eastern Europe,Bulgaria,Pleven,Pleven
